,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2017-01-10,1089.85,-0.9998,0.134,0.777,0.088,1080.0,1094.4,1080.0,2594400.0
2017-01-11,1086.05,-0.9999,0.142,0.768,0.09,1095.0,1095.7,1084.0,2623211.0
2017-01-12,1083.3,-0.9996,0.124,0.773,0.102,1087.0,1090.35,1079.8,999364.0
2017-01-13,1090.4,-0.9991,0.126,0.764,0.11,1084.55,1097.5,1084.55,1653669.0
2017-01-16,1076.25,-0.9983,0.13,0.75,0.119,1089.95,1093.95,1073.95,2746005.0
2017-01-17,1041.25,-0.9999,0.138,0.779,0.083,1065.0,1068.0,1038.5,8968290.0
2017-01-18,1032.55,-0.9997,0.123,0.786,0.091,1042.6,1048.0,1028.75,3627071.0
2017-01-19,1033.7,-0.9991,0.113,0.793,0.094,1035.15,1045.3,1031.0,3493728.0
2017-01-20,1025.8,-0.9998,0.143,0.75,0.107,1033.95,1037.45,1023.9,2008082.0
2017-01-23,1015.9,-0.9994,0.125,0.772,0.103,1021.8,1031.0,1012.8,3133533.0
2017-01-24,1027.3,-0.9999,0.143,0.758,0.099,1017.0,1028.8,1017.0,2153091.0
2017-01-25,1017.3,-0.9999,0.13,0.785,0.086,1032.0,1032.7,1016.15,5453230.0
2017-01-27,1025.1,0.9975,0.098,0.791,0.111,1020.25,1028.9,1019.0,4997239.0
2017-01-30,1044.8,-0.9997,0.134,0.762,0.104,1024.95,1046.45,1024.8,3583756.0
2017-01-31,1045.2,-0.9998,0.129,0.777,0.094,1046.85,1053.8,1040.3,3457365.0
2017-02-01,1049.65,-0.9999,0.155,0.748,0.098,1046.1,1050.9,1035.2,2585798.0
2017-02-02,1043.5,-0.722,0.118,0.759,0.123,1050.0,1050.8,1038.25,2079908.0
2017-02-03,1033.65,-0.9991,0.124,0.769,0.107,1046.0,1050.45,1030.1,3021751.0
2017-02-06,1041.65,-0.9998,0.14,0.747,0.112,1037.0,1044.9,1032.05,2283982.0
2017-02-07,1030.9,-0.9999,0.15,0.769,0.081,1042.0,1042.35,1027.2,2264245.0
2017-02-08,1025.15,-0.9997,0.137,0.756,0.107,1030.9,1038.25,1022.0,3710094.0
2017-02-09,1032.75,-1.0,0.161,0.76,0.079,1028.0,1034.0,1026.8,2254216.0
2017-02-10,1030.15,-0.9997,0.126,0.776,0.099,1035.0,1035.55,1025.55,2861531.0
2017-02-13,1029.85,-0.7107,0.115,0.772,0.113,1033.0,1034.0,1022.0,1957988.0
2017-02-14,1049.8,-0.9998,0.131,0.774,0.095,1035.0,1052.9,1029.9,4170414.0
2017-02-15,1051.3,-0.9982,0.133,0.745,0.122,1052.9,1057.5,1045.25,3482845.0
2017-02-16,1067.5,-0.9999,0.148,0.763,0.089,1052.55,1069.45,1052.55,4492847.0
2017-02-17,1075.5,-0.9998,0.129,0.776,0.095,1066.5,1078.2,1058.45,3393856.0
2017-02-20,1075.4,-0.9996,0.129,0.77,0.101,1070.55,1078.85,1066.5,2663127.0
2017-02-21,1088.2,-0.9999,0.135,0.792,0.073,1075.2,1090.95,1073.05,3242790.0
2017-02-22,1207.5,-0.9998,0.117,0.8,0.083,1093.0,1211.65,1092.0,29103926.0
2017-02-23,1182.75,-0.9999,0.128,0.806,0.067,1213.6,1222.0,1179.35,14229234.0
2017-02-27,1238.9,-0.9998,0.148,0.743,0.109,1190.5,1256.8,1190.35,19068911.0
2017-02-28,1238.05,-0.9999,0.131,0.791,0.078,1232.0,1248.0,1228.5,8254531.0
2017-03-01,1234.5,-0.9999,0.141,0.782,0.076,1240.1,1244.4,1230.0,5574153.0
